		Miranium costs for I/V/X/XV/XX are 100/100/100/1500/2000, unranked are just 100					Affixes already present on gear can have their ranks raised, so long as there are still enhancement slots available on the piece.																		
M-Auto.PHYS-DOWN V	Skell Melee AA 10% inflict Physical Res Down I	2 Juicy Wild Meat	-	-	1 Lionbone Bort																				
M-Auto.PHYS-DOWN X	Skell Melee AA 10% inflict Physical Res Down II	3 Juicy Wild Meat	-	-	1 Enduron Lead																				
M-Auto.PHYS-DOWN XV	Skell Melee AA 10% inflict Physical Res Down III	4 Juicy Wild Meat	-	-	1 Boiled-Egg Ore																				
M-Auto.PHYS-DOWN XX	Skell Melee AA 10% inflict Physical Res Down IV	5 Juicy Wild Meat	-	-	1 Marine Rutile																				
M-Auto.BEAM-DOWN I	Skell Melee AA 5% inflict Beam Res Down I	1 Adsecula Straw	-	-	1 Arc Sand Ore																				
M-Auto.BEAM-DOWN V	Skell Melee AA 10% inflict Beam Res Down I	2 Adsecula Straw	-	-	1 Lionbone Bort																				
M-Auto.BEAM-DOWN X	Skell Melee AA 10% inflict Beam Res Down II	3 Adsecula Straw	-	-	1 Enduron Lead																				
M-Auto.BEAM-DOWN XV	Skell Melee AA 10% inflict Beam Res Down III	4 Adsecula Straw	-	-	1 Boiled-Egg Ore																				
M-Auto.BEAM-DOWN XX	Skell Melee AA 10% inflict Beam Res Down IV	5 Adsecula Straw	-	-	1 Marine Rutile																				
M-Auto.ETHER-DOWN I	Skell Melee AA 5% inflict Ether Res Down I	1 Perforated Oar	-	-	1 Arc Sand Ore																				
M-Auto.ETHER-DOWN V	Skell Melee AA 10% inflict Ether Res Down I	2 Perforated Oar	-	-	1 Lionbone Bort																				
M-Auto.ETHER-DOWN X	Skell Melee AA 10% inflict Ether Res Down II	3 Perforated Oar	-	-	1 Enduron Lead																				
M-Auto.ETHER-DOWN XV	Skell Melee AA 10% inflict Ether Res Down III	4 Perforated Oar	-	-	1 Boiled-Egg Ore																				
M-Auto.ETHER-DOWN XX	Skell Melee AA 10% inflict Ether Res Down IV	5 Perforated Oar	-	-	1 Marine Rutile																				
M-Auto.THERM-DOWN I	Skell Melee AA 5% inflict Thermal Res Down I	1 Red Forfex Shell	-	-	1 Arc Sand Ore																				
M-Auto.THERM-DOWN V	Skell Melee AA 10% inflict Thermal Res Down I	2 Red Forfex Shell	-	-	1 Lionbone Bort																				
M-Auto.THERM-DOWN X	Skell Melee AA 10% inflict Thermal Res Down II	3 Red Forfex Shell	-	-	1 Enduron Lead																				
M-Auto.THERM-DOWN XV	Skell Melee AA 10% inflict Thermal Res Down III	4 Red Forfex Shell	-	-	1 Boiled-Egg Ore																				
M-Auto.THERM-DOWN XX	Skell Melee AA 10% inflict Thermal Res Down IV	5 Red Forfex Shell	-	-	1 Marine Rutile																				
M-Auto.ELEC-DOWN I	Skell Melee AA 5% inflict Electric Res Down I	1 Muddy Pelt	-	-	1 Arc Sand Ore																				
M-Auto.ELEC-DOWN V	Skell Melee AA 10% inflict Electric Res Down I	2 Muddy Pelt	-	-	1 Lionbone Bort																				
M-Auto.ELEC-DOWN X	Skell Melee AA 10% inflict Electric Res Down II	3 Muddy Pelt	-	-	1 Enduron Lead																				
M-Auto.ELEC-DOWN XV	Skell Melee AA 10% inflict Electric Res Down III	4 Muddy Pelt	-	-	1 Boiled-Egg Ore																				
M-Auto.ELEC-DOWN XX	Skell Melee AA 10% inflict Electric Res Down IV	5 Muddy Pelt	-	-	1 Marine Rutile																				
M-Auto.GRAV-DOWN I	Skell Melee AA 5% inflict Gravity Res Down I	1 Black Blatta Wing	-	-	1 Arc Sand Ore																				
M-Auto.GRAV-DOWN V	Skell Melee AA 10% inflict Gravity Res Down I	2 Black Blatta Wing	-	-	1 Lionbone Bort																				
M-Auto.GRAV-DOWN X	Skell Melee AA 10% inflict Gravity Res Down II	3 Black Blatta Wing	-	-	1 Enduron Lead																				
M-Auto.GRAV-DOWN XV	Skell Melee AA 10% inflict Gravity Res Down III	4 Black Blatta Wing	-	-	1 Boiled-Egg Ore																				
M-Auto.GRAV-DOWN XX	Skell Melee AA 10% inflict Gravity Res Down IV	5 Black Blatta Wing	-	-	1 Marine Rutile																				
M-Auto.BLAZE I	Skell Melee AA 5% inflict Blaze I	1 Scirpo Malic Acid Sac	1 Pugilith Lamp	-	1 Aurorite																				
M-Auto.BLAZE V	Skell Melee AA 10% inflict Blaze I	2 Scirpo Malic Acid Sac	2 Pugilith Lamp	-	1 Infernium																				
M-Auto.BLAZE X	Skell Melee AA 10% inflict Blaze II	3 Scirpo Malic Acid Sac	3 Imperial Sphinx Fang	-	1 Cimmerian Cinnabar																				
M-Auto.BLAZE XV	Skell Melee AA 10% inflict Blaze III	4 Scirpo Malic Acid Sac	4 Imperial Sphinx Fang	-	1 Ouroboros Crystal																				
M-Auto.BLAZE XX	Skell Melee AA 10% inflict Blaze IV	5 Scirpo Malic Acid Sac	5 Imperial Sphinx Fang	-	1 Parhelion Platinum																				
M-Auto.SHOCK I	Skell Melee AA 5% inflict Shock I	1 Scirpo Cyanide Sac	1 Electrified Xeno Blood	-	1 Aurorite																				
M-Auto.SHOCK V	Skell Melee AA 10% inflict Shock I	2 Scirpo Cyanide Sac	2 Electrified Xeno Blood	-	1 Infernium																				
M-Auto.SHOCK X	Skell Melee AA 10% inflict Shock II	3 Scirpo Cyanide Sac	3 Electric Tersqual Tear	-	1 Cimmerian Cinnabar																				
M-Auto.SHOCK XV	Skell Melee AA 10% inflict Shock III	4 Scirpo Cyanide Sac	4 Electric Tersqual Tear	-	1 Ouroboros Crystal																				
M-Auto.SHOCK XX	Skell Melee AA 10% inflict Shock IV	5 Scirpo Cyanide Sac	5 Electric Tersqual Tear	-	1 Parhelion Platinum																				
M-Auto.HP-RECOV I	Skell Melee AA 50% restore 25 HP	1 Thallus Crescent Hook	1 Green Monoceros Horn	1 Liceor Horn	1 White Cometite																				
M-Auto.HP-RECOV V	Skell Melee AA 50% restore 125 HP	2 Thallus Crescent Hook	2 Green Monoceros Horn	2 Liceor Horn	1 Dawnstone																				
M-Auto.HP-RECOV X	Skell Melee AA 50% restore 250 HP	3 Thallus Crescent Hook	3 Millesaur Dung	3 Coronid Dung	1 Everfreeze Ore																				
M-Auto.HP-RECOV XV	Skell Melee AA 50% restore 375 HP	4 Thallus Crescent Hook	4 Millesaur Dung	4 Coronid Dung	1 Foucaultium																				
M-Auto.HP-RECOV XX	Skell Melee AA 50% restore 500 HP	5 Thallus Crescent Hook	5 Millesaur Dung	5 Coronid Dung	1 Bonjelium																				
Reflect.NEG-PHYS I	Skells 5% chance to nullify Physical Reflect	1 Juicy Wild Meat	-	-	1 Arc Sand Ore																				
Reflect.NEG-PHYS V	Skells 25% chance to nullify Physical Reflect	2 Juicy Wild Meat	-	-	1 Lionbone Bort																				
Reflect.NEG-PHYS X	Skells 50% chance to nullify Physical Reflect	3 Juicy Wild Meat	-	-	1 Enduron Lead																				
Reflect.NEG-PHYS XV	Skells 75% chance to nullify Physical Reflect	4 Juicy Wild Meat	-	-	1 Boiled-Egg Ore																				
Reflect.NEG-PHYS XX	Skells 100% chance to nullify Physical Reflect	5 Juicy Wild Meat	-	-	1 Marine Rutile																				
Reflect.NEG-BEAM I	Skells 5% chance to nullify Beam Reflect	1 Adsecula Straw	-	-	1 Arc Sand Ore																				
Reflect.NEG-BEAM V	Skells 25% chance to nullify Beam Reflect	2 Adsecula Straw	-	-	1 Lionbone Bort																				
Reflect.NEG-BEAM X	Skells 50% chance to nullify Beam Reflect	3 Adsecula Straw	-	-	1 Enduron Lead																				
Reflect.NEG-BEAM XV	Skells 75% chance to nullify Beam Reflect	4 Adsecula Straw	-	-	1 Boiled-Egg Ore																				
Reflect.NEG-BEAM XX	Skells 100% chance to nullify Beam Reflect	5 Adsecula Straw	-	-	1 Marine Rutile																				
Reflect.NEG-ETHER I	Skells 5% chance to nullify Ether Reflect	1 Taut Leather	-	-	1 Arc Sand Ore																				
Reflect.NEG-ETHER V	Skells 25% chance to nullify Ether Reflect	2 Taut Leather	-	-	1 Lionbone Bort																				
Reflect.NEG-ETHER X	Skells 50% chance to nullify Ether Reflect	3 Taut Leather	-	-	1 Enduron Lead																				
Reflect.NEG-ETHER XV	Skells 75% chance to nullify Ether Reflect	4 Taut Leather	-	-	1 Boiled-Egg Ore																				
Reflect.NEG-ETHER XX	Skells 100% chance to nullify Ether Reflect	5 Taut Leather	-	-	1 Marine Rutile																				
Reflect.NEG-THERMAL I	Skells 5% chance to nullify Thermal Reflect	1 Red Forfex Shell	-	-	1 Arc Sand Ore																				
Reflect.NEG-THERMAL V	Skells 25% chance to nullify Thermal Reflect	2 Red Forfex Shell	-	-	1 Lionbone Bort																				
Reflect.NEG-THERMAL X	Skells 50% chance to nullify Thermal Reflect	3 Red Forfex Shell	-	-	1 Enduron Lead																				
Reflect.NEG-THERMAL XV	Skells 75% chance to nullify Thermal Reflect	4 Red Forfex Shell	-	-	1 Boiled-Egg Ore																				
Reflect.NEG-THERMAL XX	Skells 100% chance to nullify Thermal Reflect	5 Red Forfex Shell	-	-	1 Marine Rutile																				
Reflect.NEG-ELECTRIC I	Skells 5% chance to nullify Electric Reflect	1 Muddy Pelt	-	-	1 Arc Sand Ore																				
Reflect.NEG-ELECTRIC V	Skells 25% chance to nullify Electric Reflect	2 Muddy Pelt	-	-	1 Lionbone Bort																				
Reflect.NEG-ELECTRIC X	Skells 50% chance to nullify Electric Reflect	3 Muddy Pelt	-	-	1 Enduron Lead																				
Reflect.NEG-ELECTRIC XV	Skells 75% chance to nullify Electric Reflect	4 Muddy Pelt	-	-	1 Boiled-Egg Ore																				
Reflect.NEG-ELECTRIC XX	Skells 100% chance to nullify Electric Reflect	5 Muddy Pelt	-	-	1 Marine Rutile																				
Reflect.NEG-GRAVITY I	Skells 5% chance to nullify Gravity Reflect	1 Black Blatta Wing	-	-	1 Arc Sand Ore																				
Reflect.NEG-GRAVITY V	Skells 25% chance to nullify Gravity Reflect	2 Black Blatta Wing	-	-	1 Lionbone Bort																				
Reflect.NEG-GRAVITY X	Skells 50% chance to nullify Gravity Reflect	3 Black Blatta Wing	-	-	1 Enduron Lead																				
Reflect.NEG-GRAVITY XV	Skells 75% chance to nullify Gravity Reflect	4 Black Blatta Wing	-	-	1 Boiled-Egg Ore																				
Reflect.NEG-GRAVITY XX	Skells 100% chance to nullify Gravity Reflect	5 Black Blatta Wing	-	-	1 Marine Rutile																				
Arts.GP I	Skell arts restore 10 GP	1 White Mortifole Feather	1 Ornate Insidia Claw	1 Blue Fungi	1 White Cometite																				
Arts.GP V	Skell arts restore 50 GP	2 White Mortifole Feather	2 Ornate Insidia Claw	2 Blue Fungi	1 Dawnstone																				
Arts.GP X	Skell arts restore 100 GP	8 White Mortifole Feather	8 Aeviter Star Wing	8 Red Vigent Rock Scalp	2 Everfreeze Ore																				
Arts.GP XV	Skell arts restore 150 GP	16 White Mortifole Feather	16 Aeviter Star Wing	16 Red Vigent Rock Scalp	4 Foucaultium																				
Arts.GP XX	Skell arts restore 200 GP	32 White Mortifole Feather	32 Aeviter Star Wing	32 Red Vigent Rock Scalp	8 Bonjelium																				
TimeEx.TAUNT I	Taunt duration from Skell arts +1s	1 Small Insect Leg	-	-	1 Arc Sand Ore																				
TimeEx.TAUNT V	Taunt duration from Skell arts +5s	2 Small Insect Leg	-	-	1 Lionbone Bort																				
TimeEx.TAUNT X	Taunt duration from Skell arts +10s	3 Small Insect Leg	-	-	1 Enduron Lead																				
TimeEx.TAUNT XV	Taunt duration from Skell arts +15s	4 Small Insect Leg	-	-	1 Boiled-Egg Ore																				
TimeEx.TAUNT XX	Taunt duration from Skell arts +20s	5 Small Insect Leg	-	-	1 Marine Rutile																				
TimeEx.SLEEP I	Sleep duration from Skell arts +1s	1 Moving Vivohast Tail	-	-	1 Arc Sand Ore																				
TimeEx.SLEEP V	Sleep duration from Skell arts +5s	2 Moving Vivohast Tail	-	-	1 Lionbone Bort																				
TimeEx.SLEEP X	Sleep duration from Skell arts +10s	3 Moving Vivohast Tail	-	-	1 Enduron Lead																				
TimeEx.SLEEP XV	Sleep duration from Skell arts +15s	4 Moving Vivohast Tail	-	-	1 Boiled-Egg Ore																				
TimeEx.SLEEP XX	Sleep duration from Skell arts +20s	5 Moving Vivohast Tail	-	-	1 Marine Rutile																				
TimeEx.VIRUS I	Virus duration from Skell arts +1s	1 Small Insect Leg	-	-	1 Arc Sand Ore																				
TimeEx.VIRUS V	Virus duration from Skell arts +5s	2 Small Insect Leg	-	-	1 Lionbone Bort																				
TimeEx.VIRUS X	Virus duration from Skell arts +10s	3 Small Insect Leg	-	-	1 Enduron Lead																				
TimeEx.VIRUS XV	Virus duration from Skell arts +15s	4 Small Insect Leg	-	-	1 Boiled-Egg Ore																				
TimeEx.VIRUS XX	Virus duration from Skell arts +20s	5 Small Insect Leg	-	-	1 Marine Rutile																				
TimeEx.BLACKOUT I	Blackout duration from Skell arts +1s	1 Ovis Polishing Stone	-	-	1 Arc Sand Ore																				
TimeEx.BLACKOUT V	Blackout duration from Skell arts +5s	2 Ovis Polishing Stone	-	-	1 Lionbone Bort																				
TimeEx.BLACKOUT X	Blackout duration from Skell arts +10s	3 Ovis Polishing Stone	-	-	1 Enduron Lead																				
TimeEx.BLACKOUT XV	Blackout duration from Skell arts +15s	4 Ovis Polishing Stone	-	-	1 Boiled-Egg Ore																				
TimeEx.BLACKOUT XX	Blackout duration from Skell arts +20s	5 Ovis Polishing Stone	-	-	1 Marine Rutile																				
TimeEx.FATIGUE I	Fatigue duration from Skell arts +1s	1 Broken Pincer	-	-	1 Arc Sand Ore																				
TimeEx.FATIGUE V	Fatigue duration from Skell arts +5s	2 Broken Pincer	-	-	1 Lionbone Bort																				
TimeEx.FATIGUE X	Fatigue duration from Skell arts +10s	3 Broken Pincer	-	-	1 Enduron Lead																				
TimeEx.FATIGUE XV	Fatigue duration from Skell arts +15s	4 Broken Pincer	-	-	1 Boiled-Egg Ore																				
TimeEx.FATIGUE XX	Fatigue duration from Skell arts +20s	5 Broken Pincer	-	-	1 Marine Rutile																				
TimeEx.SLOW-ARTS I	Slow Skell arts duration from Skell arts +1s	1 Supple Leather	-	-	1 Arc Sand Ore																				
TimeEx.SLOW-ARTS V	Slow Skell arts duration from Skell arts +5s	2 Supple Leather	-	-	1 Lionbone Bort																				
TimeEx.SLOW-ARTS X	Slow Skell arts duration from Skell arts +10s	3 Supple Leather	-	-	1 Enduron Lead																				
TimeEx.SLOW-ARTS XV	Slow Skell arts duration from Skell arts +15s	4 Supple Leather	-	-	1 Boiled-Egg Ore																				
TimeEx.SLOW-ARTS XX	Slow Skell arts duration from Skell arts +20s	5 Supple Leather	-	-	1 Marine Rutile																				
TimeEx.DEBUFF-DOWN I	Debuff Res Down duration from Skell arts +1s	1 Lovely Pom Pom	-	-	1 Arc Sand Ore																				
TimeEx.DEBUFF-DOWN V	Debuff Res Down duration from Skell arts +5s	2 Lovely Pom Pom	-	-	1 Lionbone Bort																				
TimeEx.DEBUFF-DOWN X	Debuff Res Down duration from Skell arts +10s	3 Lovely Pom Pom	-	-	1 Enduron Lead																				
TimeEx.DEBUFF-DOWN XV	Debuff Res Down duration from Skell arts +15s	4 Lovely Pom Pom	-	-	1 Boiled-Egg Ore																				
TimeEx.DEBUFF-DOWN XX	Debuff Res Down duration from Skell arts +20s	5 Lovely Pom Pom	-	-	1 Marine Rutile																				
TimeEx.BLAZE I	Blaze duration from Skell arts +1s	1 Poisonous Needle	-	-	1 Arc Sand Ore																				
TimeEx.BLAZE V	Blaze duration from Skell arts +5s	4 Poisonous Needle	-	-	1 Lionbone Bort																				
TimeEx.BLAZE X	Blaze duration from Skell arts +10s	12 Poisonous Needle	1 Levitath Sun Bead	-	1 Enduron Lead																				
TimeEx.BLAZE XV	Blaze duration from Skell arts +15s	24 Poisonous Needle	2 Levitath Sun Bead	-	4 Boiled-Egg Ore																				
TimeEx.BLAZE XX	Blaze duration from Skell arts +20s	36 Poisonous Needle	4 Levitath Sun Bead	-	8 Marine Rutile																				
TimeEx.SHOCK I	Shock duration from Skell arts +1s	1 Vesper Fang	-	-	1 Arc Sand Ore																				
TimeEx.SHOCK V	Shock duration from Skell arts +5s	4 Vesper Fang	-	-	1 Lionbone Bort																				
TimeEx.SHOCK X	Shock duration from Skell arts +10s	12 Vesper Fang	1 Electric Tersqual Tear	-	2 Enduron Lead																				
TimeEx.SHOCK XV	Shock duration from Skell arts +15s	24 Vesper Fang	2 Electric Tersqual Tear	-	4 Boiled-Egg Ore																				
TimeEx.SHOCK XX	Shock duration from Skell arts +20s	48 Vesper Fang	4 Electric Tersqual Tear	-	8 Marine Rutile																				
TimeEx.PHYS-DOWN I	Physical Res Down duration from Skell arts +1s	1 Juicy Wild Meat	-	-	1 Arc Sand Ore																				
TimeEx.PHYS-DOWN V	Physical Res Down duration from Skell arts +5s	2 Juicy Wild Meat	-	-	1 Lionbone Bort																				
TimeEx.PHYS-DOWN X	Physical Res Down duration from Skell arts +10s	3 Juicy Wild Meat	-	-	1 Enduron Lead																				
TimeEx.PHYS-DOWN XV	Physical Res Down duration from Skell arts +15s	4 Juicy Wild Meat	-	-	1 Boiled-Egg Ore																				
TimeEx.PHYS-DOWN XX	Physical Res Down duration from Skell arts +20s	5 Juicy Wild Meat	-	-	1 Marine Rutile																				
TimeEx.BEAM-DOWN I	Beam Res Down duration from Skell arts +1s	1 Adsecula Straw	-	-	1 Arc Sand Ore																				
TimeEx.BEAM-DOWN V	Beam Res Down duration from Skell arts +5s	2 Adsecula Straw	-	-	1 Lionbone Bort																				
TimeEx.BEAM-DOWN X	Beam Res Down duration from Skell arts +10s	3 Adsecula Straw	-	-	1 Enduron Lead																				
TimeEx.BEAM-DOWN XV	Beam Res Down duration from Skell arts +15s	4 Adsecula Straw	-	-	1 Boiled-Egg Ore																				
TimeEx.BEAM-DOWN XX	Beam Res Down duration from Skell arts +20s	5 Adsecula Straw	-	-	1 Marine Rutile																				
TimeEx.ETHER-DOWN I	Ether Res Down duration from Skell arts +1s	1 Perforated Oar	-	-	1 Arc Sand Ore																				
TimeEx.ETHER-DOWN V	Ether Res Down duration from Skell arts +5s	2 Perforated Oar	-	-	1 Lionbone Bort																				
TimeEx.ETHER-DOWN X	Ether Res Down duration from Skell arts +10s	3 Perforated Oar	-	-	1 Enduron Lead																				
TimeEx.ETHER-DOWN XV	Ether Res Down duration from Skell arts +15s	4 Perforated Oar	-	-	1 Boiled-Egg Ore																				
TimeEx.ETHER-DOWN XX	Ether Res Down duration from Skell arts +20s	5 Perforated Oar	-	-	1 Marine Rutile																				
TimeEx.THERM-DOWN I	Thermal Res Down duration from Skell arts +1s	1 Red Forfex Shell	-	-	1 Arc Sand Ore																				
TimeEx.THERM-DOWN V	Thermal Res Down duration from Skell arts +5s	2 Red Forfex Shell	-	-	1 Lionbone Bort																				
TimeEx.THERM-DOWN X	Thermal Res Down duration from Skell arts +10s	3 Red Forfex Shell	-	-	1 Enduron Lead																				
TimeEx.THERM-DOWN XV	Thermal Res Down duration from Skell arts +15s	4 Red Forfex Shell	-	-	1 Boiled-Egg Ore																				
TimeEx.THERM-DOWN XX	Thermal Res Down duration from Skell arts +20s	5 Red Forfex Shell	-	-	1 Marine Rutile																				
TimeEx.ELEC-DOWN I	Electric Res Down duration from Skell arts +1s	1 Muddy Pelt	-	-	1 Arc Sand Ore																				
TimeEx.ELEC-DOWN V	Electric Res Down duration from Skell arts +5s	2 Muddy Pelt	-	-	1 Lionbone Bort																				
TimeEx.ELEC-DOWN X	Electric Res Down duration from Skell arts +10s	3 Muddy Pelt	-	-	1 Enduron Lead																				
TimeEx.ELEC-DOWN XV	Electric Res Down duration from Skell arts +15s	4 Muddy Pelt	-	-	1 Boiled-Egg Ore																				
TimeEx.ELEC-DOWN XX	Electric Res Down duration from Skell arts +20s	5 Muddy Pelt	-	-	1 Marine Rutile																				
TimeEx.GRAV-DOWN I	Gravity Res Down duration from Skell arts +1s	1 Black Blatta Wing	-	-	1 Arc Sand Ore																				
TimeEx.GRAV-DOWN V	Gravity Res Down duration from Skell arts +5s	2 Black Blatta Wing	-	-	1 Lionbone Bort																				
TimeEx.GRAV-DOWN X	Gravity Res Down duration from Skell arts +10s	3 Black Blatta Wing	-	-	1 Enduron Lead																				
TimeEx.GRAV-DOWN XV	Gravity Res Down duration from Skell arts +15s	4 Black Blatta Wing	-	-	1 Boiled-Egg Ore																				
TimeEx.GRAV-DOWN XX	Gravity Res Down duration from Skell arts +20s	5 Black Blatta Wing	-	-	1 Marine Rutile																				
Draw.OPENING-DMG I	Battle-starting Skell arts dmg +5%	1 Red Thallus Antenna	1 Monoceros Wing	1 Reinforced Thruster	1 White Cometite																				
Draw.OPENING-DMG V	Battle-starting Skell arts dmg +25%	2 Red Thallus Antenna	2 Monoceros Wing	2 Reinforced Thruster	1 Dawnstone																				
Draw.OPENING-DMG X	Battle-starting Skell arts dmg +50%	8 Red Thallus Antenna	8 Parasitic Capsule	8 Large Saw Tooth	2 Everfreeze Ore																				
Draw.OPENING-DMG XV	Battle-starting Skell arts dmg +75%	16 Red Thallus Antenna	16 Parasitic Capsule	16 Large Saw Tooth	4 Foucaultium																				
Draw.OPENING-DMG XX	Battle-starting Skell arts dmg +100%	32 Red Thallus Antenna	32 Parasitic Capsule	32 Large Saw Tooth	8 Bonjelium																				
