Name	Genus	Type	Continent	Location	Lv	Exp	HP	M.Pow	M.Acc	R.Pow	R.Acc	Pot.	Eva	Res		Drops~								Wep	Armor	SkellWep	SkellArmr	Tyrant
				n=night, hi/lo=high/low, air=flying around, wait=doesn't appear immediately										Phys/Beam/Eth/Heat/Elec/Grav										Gear Drops (click link for more details)			
Goliath, the Castellated	Vigent	Theroid	Sylvalum	415NW	50	2909	1905167	2418	264	1965	234	2016	157	5/5/-20/-45/5/5		Vigent Blood	Blue Vigent Rock Scalp	Quality Vigent Claw	Warrior Race's Seal	Rugged Skin	---	---		---	GG - H	17	---	Y
Nether Virago	Virago	Theroid	Sylvalum	Cavernous Abyss	51~60	1333~1716	478188~559591	1710~2132	244~280	1283~1599	239~275	1316~1640	154~190	0/0/-25/-50/0/0		Virago Blood Sweat	Purple Virago Alloy Plate	Ingrown Virago Claw	Warrior Race's Seal	Rough Skin	---	---		---	GG - Sk	13	---
Behemoth, the Netherdweller	Virago	Theroid	Sylvalum	Cavernous Abyss	60	2574	1259080	2238	294	1678	288	1722	199	5/5/-20/-45/5/5		Virago Blood Sweat	Purple Virago Alloy Plate	Ingrown Virago Claw	Warrior Race's Seal	Rough Skin	---	---		---	GG - Sk	13	---	Y
Mighty Virago	Virago	Theroid	Sylvalum	418	41~50	937~1294	387727~469152	1284~1664	208~240	963~1248	203~235	988~1280	118~150	0/0/-25/-50/0/0		Virago Blood Sweat	Purple Virago Alloy Plate	Ingrown Virago Claw	Warrior Race's Seal	Rough Skin	---	---		---	GG - Sk	13	---
Callow Virago	Virago	Theroid	Sylvalum	418	41~50	437~604	80647~97583	963~1248	208~240	722~936	203~235	741~960	118~150	0/0/-25/-50/0/0		Virago Blood Sweat	Purple Virago Alloy Plate	Ingrown Virago Claw	Warrior Race's Seal	Rough Skin	---	---		---	GG - Sk	13	---
Viridian Monoceros	Monoceros	Theroid	Sylvalum	401,402N,406SW	31~40	255~362	51661~72319	498~681	182~210	511~698	177~205	525~717	92~120	0/0/-25/-50/0/0		Monoceros Hoof Hook	Green Monoceros Horn	Monoceros Wing	Slender Horn	Worn Muscle Fiber	---	---		〇	---	---	---
Alexei, the Jade	Monoceros	Theroid	Sylvalum	406SW	35	446	136113	607	204	623	199	639	110	5/5/-20/-45/5/5		Monoceros Hoof Hook	Green Monoceros Horn	Monoceros Wing	Slender Horn	Worn Muscle Fiber	---	---		〇	---	---	---	Y
White Progen	Progen	Theroid	Sylvalum	403,417SE	11~20	80~138	12907~27468	171~299	125~143	166~292	123~141	175~307	37~56	0/0/-25/-50/0/0		Progen Hoof Seal	Ornate Progen Horn	Blue Progen Wing	Large Hoof	Small Scale	---	---		〇	---	---	---
Mount Progen	Progen	Theroid	Sylvalum	N.MagicMt (Not Spores)	41~50	378~521	80776~97740	722~935	208~240	703~912	208~240	741~960	126~161	0/0/-25/-50/0/0		Progen Hoof Seal	Ornate Progen Horn	Blue Progen Wing	Large Hoof	Small Scale	---	---		〇	---	---	---
Blaudolch, the Chalcedony	Progen	Theroid	Sylvalum	403	20	207	61803	314	150	306	148	322	59	5/5/-20/-45/5/5		Progen Hoof Seal	Ornate Progen Horn	Blue Progen Wing	Large Hoof	Small Scale	---	---		〇	---	---	---	Y
Canyon Cantor	Cantor	Theroid	Sylvalum	[19:00~5:00]: 406S	31~40	282~400	53796~75308	577~788	173~199	577~788	168~195	525~717	85~112	0/0/-25/-50/0/0		Hidden Cantor Hoard	Luminescent Tail	Silver Cantor Tooth	Muscled Cantor Bulge	Squishy Cartilage	Slimy Epithelium	---		〇	SA - M	---	---
Cave Cantor	Cantor	Theroid	Sylvalum	416SE(night),Behemoth's Shadows	41~50	417~576	84115~101779	815~1056	202~234	815~1056	197~229	741~960	115~146	0/0/-25/-50/0/0		Hidden Cantor Hoard	Luminescent Tail	Silver Cantor Tooth	Muscled Cantor Bulge	Squishy Cartilage	Slimy Epithelium	---		〇	SA - M	---	---
Eustachio, the Eccentric	Cantor	Theroid	Sylvalum	[19:00~5:00]: 420	43	1454	950702	1214	218	1214	213	1103	126	5/5/-20/-45/5/5		Hidden Cantor Hoard	Luminescent Tail	Silver Cantor Tooth	Muscled Cantor Bulge	Squishy Cartilage	Slimy Epithelium	---		〇	SA - M	---	---	Y
Recluse Cantor	Cantor	Theroid	Sylvalum	S.MagicMt,Abysscave	51~60	1273~1638	497952~582720	1446~1803	237~273	1446~1803	233~268	1315~1639	150~185	0/0/-25/-50/0/0		Hidden Cantor Hoard	Luminescent Tail	Golden Cantor Tooth	Muscled Cantor Bulge	Squishy Cartilage	Slimy Epithelium	---		〇	SA - M	---	---
Leandro, the Sneering	Cantor	Theroid	Sylvalum	Behemoth's Shadows	49	1794	1077844	1435	241	1435	236	1305	149	5/5/-20/-45/5/5		Hidden Cantor Hoard	Luminescent Tail	Golden Cantor Tooth	Muscled Cantor Bulge	Squishy Cartilage	Slimy Epithelium	---		〇	SA - M	---	---	Y
Shaman Cervus	Cervus	Theroid	Sylvalum	N.MagicMt (Not Spores)	41~50	852~1176	355416~430056	963~1248	208~240	1012~1312	203~235	988~1280	123~157	0/0/-25/-50/0/0		Lucky Cervus Sapling	Longevity Bough	Amber Cervus Antlers	Large Hoof	Supple Leather	---	---		---	GG - L	---	---
Old Cervus	Cervus	Theroid	Sylvalum	Ciel	51~60	1212~1560	438339~512958	1283~1599	244~280	1348~1681	239~275	1316~1640	161~199	0/0/-25/-50/0/0		Lucky Cervus Sapling	Longevity Bough	Purple Cervus Horn	Large Hoof	Supple Leather	---	---		---	GG - L	---	---
Asana, the Azure Star	Cervus	Theroid	Sylvalum	W.CielSE	30	1242	817066	1030	183	1084	178	1057	93	5/5/-20/-45/5/5		Lucky Cervus Sapling	Longevity Bough	Purple Cervus Horn	Large Hoof	Supple Leather	---	---		---	GG - L	---	---	Y
White Ovis	Ovis	Theroid	Sylvalum	405NE,415	21~30	84~138	20357~34677	250~369	141~170	225~332	136~165	250~369	55~85	0/0/-25/-50/0/0		Tricolored Ovis Meat	Cimmerian Pom Pom	Ovis Polishing Stone	Juicy Wild Meat	Fleecy Fur	---	---		〇	ME - L	---	---
Traveler Ovis	Ovis	Theroid	Sylvalum	N.MagicMt (Not Spores)	31~40	144~204	36163~50623	385~525	173~199	346~473	168~195	385~525	88~115	0/0/-25/-50/0/0		Tricolored Ovis Meat	Cimmerian Pom Pom	Ovis Polishing Stone	Juicy Wild Meat	Fleecy Fur	---	---		〇	ME - L	---	---
Native Ovis	Ovis	Theroid	Sylvalum	413	41~50	213~294	56543~68419	543~704	202~234	489~633	197~229	543~704	118~150	0/0/-25/-50/0/0		Tricolored Ovis Meat	Cimmerian Pom Pom	Ovis Polishing Stone	Juicy Wild Meat	Fleecy Fur	---	---		〇	ME - L	---	---
Clara, the Pure White	Ovis	Theroid	Sylvalum	[5:00~19:00]: 415SE	21	125	45794	263	148	236	143	263	57	5/5/-20/-45/5/5		Tricolored Ovis Meat	Cimmerian Pom Pom	Ovis Polishing Stone	Juicy Wild Meat	Fleecy Fur	---	---		〇	ME - L	---	---	Y
Ancient Coronid	Coronid	Theroid	Sylvalum	Ciel (Not Crimson Aurora)	51~70	2270~3822	1162262~1579987	2763~4191	231~275	2961~4491	233~277	1974~2994	38~50	0/0/-25/-50/0/0		Coronid Larynx	Coronid Dung	Thick Coronid Hide	Obsidian Cluster	Tough Tendon	Obsidian Fragment	Rugged Skin		---	SS - L	4	---
Xair, the Cerulean Walker	Coronid	Theroid	Sylvalum	Isle(W of 402)	75	4271	2281371	3195	294	3423	296	2282	53	5/5/-20/-45/5/5		Coronid Larynx	Coronid Dung	Thick Coronid Hide	Obsidian Cluster	Tough Tendon	Obsidian Fragment	Rugged Skin		---	SS - L	4	---	Y
Frenzy Coronid	Coronid	Theroid	Sylvalum	Ciel (Crimson Aurora)	51~70	2270~3822	1162262~1579987	2763~4191	231~275	2961~4491	233~277	1974~2994	38~50	0/0/-25/-50/0/0		Coronid Larynx	Coronid Dung	Thick Coronid Hide	Obsidian Cluster	Tough Tendon	Obsidian Fragment	Rugged Skin		---	SS - L	4	---
Ignit, the Ultimate Chaos	Coronid	Theroid	Sylvalum	411NE (Crimson Aurora)	88	8497	4445359	5830	356	6246	361	4164	74	5/5/-20/-45/5/5		Coronid Larynx	Coronid Dung	Thick Coronid Hide	Obsidian Cluster	Tough Tendon	Obsidian Fragment	Rugged Skin		---	SS - L	4	---	Y
Poisonous Caecus	Caecus	Theroid	Sylvalum	419SE(lo)	31~40	163~231	41329~57855	385~525	173~199	404~552	173~200	385~525	82~109	0/0/-25/-50/0/0		White Meaty Caecus Liver	Caecus Crest	Bone-In Thigh Meat	Squishy Cartilage	Slimy Epithelium	---	---		---	SA - B	---	---
Villainous Caecus	Caecus	Theroid	Sylvalum	405,420(lo),Behemoth's Shadows	41~50	241~333	64621~78192	543~704	202~234	570~739	203~235	543~704	112~142	0/0/-25/-50/0/0		White Meaty Caecus Liver	Caecus Crest	Bone-In Thigh Meat	Squishy Cartilage	Slimy Epithelium	---	---		---	SA - B	---	---
Andrea, the Famished Hunter	Caecus	Theroid	Sylvalum	402	51	719	224150	1034	249	1086	250	1034	153	5/5/-20/-45/5/5		White Meaty Caecus Liver	Caecus Crest	Bone-In Thigh Meat	Squishy Cartilage	Slimy Epithelium	---	---		---	SA - B	---	---	Y
Pollen Lepyx	Lepyx	Theroid	Sylvalum	405,415	21~30	165~270	32707~55714	393~579	159~192	359~529	154~187	352~504	44~68	0/0/-25/-50/0/0		Lepyx Moonstone	Lepyx Jaw Meat	Lepyx Elastic Cell	Dull Stone	Supple Leather	---	---		---	SA - M	---	---
Nomad Lepyx	Lepyx	Theroid	Sylvalum	412SW,413	31~40	282~400	58101~81335	603~824	195~225	551~752	190~220	525~717	70~92	0/0/-25/-50/0/0		Lepyx Moonstone	Lepyx Jaw Meat	Lepyx Elastic Cell	Dull Stone	Supple Leather	---	---		---	SA - M	---	---
Giraffin, the Old Hand	Lepyx	Theroid	Sylvalum	413	41	625	204364	894	240	816	234	778	99	5/5/-20/-45/5/5		Lepyx Moonstone	Lepyx Jaw Meat	Lepyx Elastic Cell	Dull Stone	Supple Leather	---	---		---	SA - M	---	---	Y
Jade Jacul	Jacul	Theroid	Sylvalum	401	31~40	242~343	45186~63255	511~698	178~205	537~734	177~205	525~717	92~120	0/0/-25/-50/0/-25		Fertilized Jacul Egg	Jacul Waterfall Orb	Jacul Horn	Green Jacul Wing	Cracked Bill	Filthy Wing	---		〇	CC - H	---	---
Canyon Jacul	Jacul	Theroid	Sylvalum	401(hi),402(hi),N.MagicMt	41~50	358~494	70652~85489	722~935	208~240	759~983	208~240	741~960	123~157	0/0/-25/-50/0/-25		Fertilized Jacul Egg	Jacul Waterfall Orb	Jacul Horn	Green Jacul Wing	Cracked Bill	Filthy Wing	---		〇	CC - H	---	---
Radovan, the Sky Baron	Jacul	Theroid	Sylvalum	[5:00~19:00]: 406S(hi)	37	454	128152	666	205	700	205	683	116	5/5/-20/-45/5/-20		Fertilized Jacul Egg	Jacul Waterfall Orb	Jacul Horn	Green Jacul Wing	Cracked Bill	Filthy Wing	---		〇	CC - H	---	---	Y
Highland Jacul	Jacul	Theroid	Sylvalum	414S,S.MagicMt	51~60	509~655	87136~101969	961~1198	244~280	1011~1260	244~281	987~1230	161~199	0/0/-25/-50/0/-25		Fertilized Jacul Egg	Jacul Waterfall Orb	Jacul Horn	Green Jacul Wing	Cracked Bill	Filthy Wing	---		〇	CC - H	---	---
Stream Jacul	Jacul	Theroid	Sylvalum	[5:00~19:00]: Isle(NW 404)	51~70	509~857	87136~118453	961~1459	244~290	1011~1533	244~292	987~1497	161~210	0/0/-25/-50/0/-25		Fertilized Jacul Egg	Jacul Waterfall Orb	Jacul Horn	Green Jacul Wing	Cracked Bill	Filthy Wing	---		〇	CC - H	---	---
Klaus Murra	Murra	Theroid	Sylvalum	417SE	11~20	57~99	9465~20143	128~225	125~143	141~248	123~141	128~225	39~59	0/0/-25/-50/0/-25		Multicolor Murra Wing	Brilliant Murra Liquid	Black Fog Deposits	Supple Leather	---	---	---		〇	SA - B	---	---
Quiet Murra	Murra	Theroid	Sylvalum	406,415N	31~40	182~258	37885~53034	385~525	178~205	423~578	177~205	385~525	99~12	0/0/-25/-50/0/-25		Multicolor Murra Wing	Brilliant Murra Liquid	Black Fog Deposits	Supple Leather	---	---	---		〇	SA - B	---	---
Strange Murra	Murra	Theroid	Sylvalum	404,410,415NW	41~50	270~372	59236~71676	543~704	208~240	597~774	208~240	543~704	132~168	0/0/-25/-50/0/-25		Multicolor Murra Wing	Brilliant Murra Liquid	Black Fog Deposits	Supple Leather	---	---	---		〇	SA - B	---	---
Uncanny Murra	Murra	Theroid	Sylvalum	Sandsprint Cavity	51~70	384~646	73056~99313	723~1097	244~290	796~1207	244~292	723~1097	173~225	0/0/-25/-50/0/-25		Multicolor Murra Wing	Brilliant Murra Liquid	Black Fog Deposits	Supple Leather	---	---	---		〇	SA - B	---	---
Camille, the Eternal	Murra	Theroid	Sylvalum	417SE	19	191	53385	302	148	333	146	302	60	5/5/-20/-45/5/-20		Multicolor Murra Wing	Brilliant Murra Liquid	Black Fog Deposits	Supple Leather	---	---	---		〇	SA - B	---	---	Y
Lask, the Unscrupulous	Mephite	Theroid	Sylvalum	416SE(hi)	48	523	162067	629	243	734	238	699	167	5/5/-20/-45/5/5		Mephite Stinkbag	Golden Puff	Mephite Ear Hair	Lightweight Pelt	Fleecy Fur	---	---		〇	---	---	---	Y
Thug Mephite	Mephite	Theroid	Sylvalum	Secluded Lava Lake	31~40	182~258	39607~55444	346~473	178~205	404~552	173~200	385~525	99~129	0/0/-25/-50/0/0		Mephite Stinkbag	Golden Puff	Mephite Ear Hair	Lightweight Pelt	Fleecy Fur	---	---		〇	---	---	---
Prankish Mephite	Mephite	Theroid	Sylvalum	S.MagicMt	41~50	270~372	61928~74934	489~633	208~240	570~739	203~235	543~704	132~168	0/0/-25/-50/0/0		Mephite Stinkbag	Golden Puff	Mephite Ear Hair	Lightweight Pelt	Fleecy Fur	---	---		〇	---	---	---
Strange Liceor	Liceor	Theroid	Sylvalum	405,417NE	11~20	60~104	10756~22890	131~231	128~143	131~231	123~141	128~225	33~50	5/0/-25/-50/0/0		Liceor Horn	Giant Blue Pearl	Liceor Sun Bead	Dull Stone	Small Scale	---	---		〇	CC - H	---	---
Glowing Liceor	Liceor	Theroid	Sylvalum	401,411SW,415,417,419SW(lo)	21~30	112~184	24235~41282	256~378	148~179	256~378	143~174	250~369	52~80	5/0/-25/-50/0/0		Liceor Horn	Giant Blue Pearl	Liceor Sun Bead	Dull Stone	Small Scale	---	---		〇	CC - H	---	---
Dazzling Liceor	Liceor	Theroid	Sylvalum	413E (Not Rising Particles),415,S.MagicMt	31~40	192~272	43051~60266	394~538	182~210	394~538	177~205	385~525	83~109	5/0/-25/-50/0/0		Liceor Horn	Giant Blue Pearl	Liceor Sun Bead	Dull Stone	Small Scale	---	---		〇	CC - H	---	---
Stola, the Champion	Liceor	Theroid	Sylvalum	403S (Crimson Aurora)	57	714	207955	906	288	906	282	884	177	10/5/-20/-45/5/5		Liceor Horn	Giant Blue Pearl	Liceor Sun Bead	Dull Stone	Small Scale	---	---		〇	CC - H	---	---	Y
Awakened Liceor	Liceor	Theroid	Sylvalum	Replaces Dazzling Crahla (Rising Particles)	41~50	284~392	67313~81450	556~721	213~246	556~721	208~240	543~704	112~142	5/0/-25/-50/0/0		Liceor Horn	Giant Jade Pearl	Liceor Sun Bead	Dull Stone	Small Scale	---	---		〇	CC - H	---	---
Divine Liceor	Liceor	Theroid	Sylvalum	S.MagicMt,Sandsprint Cavity	51~70	404~680	83018~112856	741~1124	250~297	741~1124	244~292	723~1097	146~190	5/0/-25/-50/0/0		Liceor Horn	Giant Jade Pearl	Liceor Sun Bead	Dull Stone	Small Scale	---	---		〇	CC - H	---	---
Stola, the Unchained	Liceor	Theroid	Sylvalum	419NE (Rising Particles)	57	714	207955	906	288	906	282	884	177	10/5/-20/-45/5/5		Liceor Horn	Giant Jade Pearl	Liceor Sun Bead	Dull Stone	Small Scale	---	---		〇, *	CC - H	---	---	Y
Minion Potamus	Potamus	Theroid	Sylvalum	417SE	11~20	60~104	10756~22890	131~231	125~143	131~231	120~138	128~225	31~47	0/0/-25/-50/0/0		Potamus Life Lung	Hot Potamus Juice	Hulking Incisor	Succulent Meat	Muddy Pelt	---	---		---	SA - B	---	---
Lively Tersqual	Tersqual	Theroid	Sylvalum	Ciel	51~60	594~764	99622~116581	1135~1414	256~294	1135~1414	250~288	987~1230	130~161	0/0/-25/10/-25/0		Electric Tersqual Tear	Tersqual Eel Kebab	Brilliant Tersqual Liquid	Juicy Wild Meat	Rough Skin	---	---		---	SS - M	---	---
Latis, the Bristle-Scaled	Tersqual	Theroid	Sylvalum	418	39	572	157237	836	222	836	217	727	99	5/5/-20/15/-20/5		Electric Tersqual Tear	Tersqual Eel Kebab	Brilliant Tersqual Liquid	Juicy Wild Meat	Rough Skin	---	---		---	SS - M	---	---	Y
Lantern Petramand	Petramand	Insectoid	Sylvalum	Den of the Dead	31~40	255~362	37644~52696	551~752	186~215	498~681	173~200	525~717	83~109	35/0/-25/-25/0/0		Rainbow Metal	Silver Petramand Silk	Gray Shell	Ornate Petramand Claw	Iron Lump	Cracked Claw	---		---	SA - Sk	17	---
Ceres Petramand	Petramand	Insectoid	Sylvalum	402,413,407,415NW	41~50	378~521	58859~71219	778~1008	218~252	703~912	203~235	741~960	112~142	35/0/-25/-25/0/0		Rainbow Metal	Silver Petramand Silk	Gray Shell	Ornate Petramand Claw	Iron Lump	Cracked Claw	---		---	SA - Sk	17	---
Lutetia Petramand	Petramand	Insectoid	Sylvalum	404,419S(lo)	51~60	537~692	72591~84949	1036~1291	256~294	937~1168	239~275	987~1230	146~180	35/0/-25/-25/0/0		Rainbow Metal	Silver Petramand Silk	Gray Shell	Ornate Petramand Claw	Iron Lump	Cracked Claw	---		---	SA - Sk	17	---
Candelario, the Bronze	Petramand	Insectoid	Sylvalum	407S	47	1520	724584	1299	251	1175	234	1238	137	40/5/-20/-20/5/5		Rainbow Metal	Silver Petramand Silk	Gray Shell	Ornate Petramand Claw	Iron Lump	Cracked Claw	---		---	SA - Sk	17	---	Y
Nectar Scirpo	Scirpo	Insectoid	Sylvalum	415E	21~30	149~245	21191~36097	333~491	145~75	333~491	140~170	342~504	55~85	35/0/-25/-25/0/0		Scirpo Silk	Scirpo Sulfuric Acid Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---
Haoma Scirpo	Scirpo	Insectoid	Sylvalum	406,412SW,413	31~40	255~362	37644~52696	511~698	178~205	511~698	173~200	525~717	88~115	35/0/-25/-25/0/0		Scirpo Silk	Scirpo Sulfuric Acid Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---
Kvass Scirpo	Scirpo	Insectoid	Sylvalum	[5:00~19:00]: 416SE	40~50	378~521	58859~71219	722~935	208~240	722~935	203~235	741~960	118~150	35/0/-25/-25/0/0		Scirpo Silk	Scirpo Sulfuric Acid Sac	Sticky Scirpo Silk	Pristine Claw	Pristine Insect Leg	Cracked Claw	---		〇	GG - L	---	---
Lazuli Forfex	Forfex	Insectoid	Sylvalum	Isle(NW 404)	51~70	509~857	68473~93083	1085~1646	256~304	888~1347	250~299	987~1497	138~180	40/0/-25/-25/0/0		Forfex Miso	Blue Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---
Iolite Forfex	Forfex	Insectoid	Sylvalum	403	1~10	25~71	1414~8066	51~178	110~129	41~145	105~123	46~162	13~29	40/0/-25/-25/0/0		Forfex Miso	Blue Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---
Sapphire Forfex	Forfex	Insectoid	Sylvalum	403	11~20	76~131	8871~18879	193~338	131~150	157~276	126~144	175~307	31~47	40/0/-25/-25/0/0		Forfex Miso	Blue Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---
Carnelian Forfex	Forfex	Insectoid	Sylvalum	403	1~10	18~50	1131~6452	37~130	110~129	30~106	105~123	33~118	13~29	40/0/-25/-25/0/0		Forfex Miso	Red Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---
Spinel Forfex	Forfex	Insectoid	Sylvalum	403	11~20	54~94	7096~15103	141~247	131~150	115~202	126~144	128~225	31~47	40/0/-25/-25/0/0		Forfex Miso	Red Forfex Shell	Pristine Pincer	Small Shell	Broken Pincer	---	---		---	GG - M	---	---
Translucent Cinicula	Cinicula	Insectoid	Sylvalum	417	21~30	157~258	24801~42246	410~604	137~166	410~604	133~161	342~504	35~55	35/0/-25/-25/0/0		Coconut Oil	Thick Cinicula Horn	Giant Cinicula Jaw	Cinicula Shell	Refined Horn	Gooey Gunge	---		---	SA - M	15	---
Glow Cinicula	Cinicula	Insectoid	Sylvalum	407NE,410SE,412N	41~50	852~1176	331183~400734	1185~1536	197~228	1185~1536	192~223	988~1280	76~97	35/0/-25/-25/0/0		Coconut Oil	Thick Cinicula Horn	Giant Cinicula Jaw	Cinicula Shell	Refined Horn	Gooey Gunge	---		---	SA - M	15	---
Thaddaeus, the Ultramafic	Cinicula	Insectoid	Sylvalum	417SW	42	1998	1270373	1927	210	1927	205	1606	82	40/5/-20/-20/5/5		Coconut Oil	Thick Cinicula Horn	Giant Cinicula Jaw	Cinicula Shell	Refined Horn	Gooey Gunge	---		---	SA - M	15	---	Y
Jade Falsaxum	Falsaxum	Insectoid	Sylvalum	401E,402N,406	31~40	576~816	211812~296509	875~1195	173~199	805~1099	168~195	700~956	52~69	35/0/-25/-25/0/0		Green Crystal	Thick Falsaxum Horn	Giant Falsaxum Jaw	Falsaxum Shell	Refined Horn	Lead Carapace	---		---	SA - Sk	2	---
Mikulas, the Keystone	Falsaxum	Insectoid	Sylvalum	402N	34	972	537193	1029	191	946	186	823	61	40/5/-20/-20/5/5		Green Crystal	Thick Falsaxum Horn	Giant Falsaxum Jaw	Falsaxum Shell	Refined Horn	Lead Carapace	---		---	SA - Sk	2	---	Y
Carrion Vivohast	Vivohast	Insectoid	Sylvalum	406S,408,419E(lo),Secluded Lava Lake	31~40	202~400	31850~44587	422~577	182~210	384~525	173~200	384~525	79~103	35/0/-25/-25/0/0		Moving Vivohast Tail	Sharp Vivohast Jaw	Vivohast Crescent Hook	Pristine Insect Jaw	Sticky Mucus	---	---		〇	---	---	---
Grand Vivohast	Vivohast	Insectoid	Sylvalum	414N,420(lo)	40~50	417~579	62251~75324	815~1056	213~246	741~960	203~235	741~960	106~135	35/0/-25/-25/0/0		Moving Vivohast Tail	Sharp Vivohast Jaw	Vivohast Crescent Hook	Pristine Insect Jaw	Sticky Mucus	---	---		〇	---	---	---
Killer Vivohast	Vivohast	Insectoid	Sylvalum	408NE	51~60	594~764	76775~89845	1085~1353	250~287	987~1230	239~275	987~1230	138~171	35/0/-25/-25/0/0		Moving Vivohast Tail	Sharp Vivohast Jaw	Vivohast Crescent Hook	Pristine Insect Jaw	Sticky Mucus	---	---		〇	---	---	---
Lockhart, the Killer of Hope	Vivohast	Insectoid	Sylvalum	414N	52	915	176009	1170	266	1064	255	1064	149	40/5/-20/-20/5/5		Moving Vivohast Tail	Sharp Vivohast Jaw	Vivohast Crescent Hook	Pristine Insect Jaw	Sticky Mucus	---	---		〇	---	---	---	Y
Nupopon Incarnate	Arenatect	Insectoid	Sylvalum	The Divine Nopopon	56	650	84036	1290	244	1234	239	1122	174	35/0/-25/-25/0/0		---	---	---	---	---	---	---					
Smalt Arenatect	Arenatect	Insectoid	Sylvalum	405E,411SW	21~30	157~256	22412~38178	393~579	134~161	376~554	129~157	342~504	55~85	35/0/-25/-25/0/0		Emerald Whiskey	Eternal Arenatect Moss	Arenatect Shell	Luminescent Antenna	Blue Fungi	Viscous Humour	---		---	ME - M	---	---
Cerulean Arenatect	Arenatect	Insectoid	Sylvalum	411S,413E,418	31~40	269~381	39812~55734	603~824	164~189	577~788	160~185	525~717	88~115	35/0/-25/-25/0/0		Emerald Whiskey	Eternal Arenatect Moss	Arenatect Shell	Luminescent Antenna	Blue Fungi	Viscous Humour	---		---	ME - M	---	---
Turquoise Arenatect	Arenatect	Insectoid	Sylvalum	406	41~50	398~549	62251~75324	852~1104	192~222	815~1056	187~217	741~960	118~150	35/0/-25/-25/0/0		Emerald Whiskey	Eternal Arenatect Moss	Arenatect Shell	Luminescent Antenna	Blue Fungi	Viscous Humour	---		---	ME - M	---	---
Man'an, the Water Whisperer	Arenatect	Insectoid	Sylvalum	413SE	43	647	146602	952	207	911	202	828	130	40/5/-20/-20/5/5		Emerald Whiskey	Eternal Arenatect Moss	Arenatect Shell	Luminescent Antenna	Blue Fungi	Viscous Humour	---		---	ME - M	---	---	Y
Saffron Arenatect	Arenatect	Insectoid	Sylvalum	410,415NW,418E	41~50	398~549	62251~75324	852~1104	192~222	815~1056	187~217	741~960	118~150	35/0/-25/-25/0/0		Red Brandy	Eternal Arenatect Moss	Arenatect Shell	Luminescent Antenna	Blue Fungi	Viscous Humour	---		---	ME - M	---	---
Topaz Arenatect	Arenatect	Insectoid	Sylvalum	Banshee Cave	51~60	566~728	76775~89845	1135~1414	225~259	1085~1353	221~254	987~1230	154~190	35/0/-25/-25/0/0		Red Brandy	Eternal Arenatect Moss	Arenatect Shell	Luminescent Antenna	Blue Fungi	Viscous Humour	---		---	ME - M	---	---
Antara, the Water Diviner	Arenatect	Insectoid	Sylvalum	407NW	46	1548	750758	1384	217	1325	212	1205	140	40/5/-20/-20/5/5		Red Brandy	Eternal Arenatect Moss	Arenatect Shell	Luminescent Antenna	Blue Fungi	Viscous Humour	---		---	ME - M	---	---	Y
Guise Blatta	Blatta	Insectoid	Sylvalum	randomly replaces mirage blatta	31~40	69~98	25589~35822	315~430	178~205	315~430	173~200	350~478	88~115	20/0/-25/-25/0/0		Medicinal Blatta Oil	Green Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---	---		〇	---	---	---
Hiro, the Priceless	Blatta	Insectoid	Sylvalum	[19:00~5:00]: Sandsprint Cavity	66~70	1411~1557	152469~150866	972~1047	300~304	972~1047	295~299	972~1047	226~231	25/5/-20/-20/5/5		Golden Cedar	Medicinal Blatta Oil	Golden Blatta Wing	Small Insect Leg	Tatty Insect Wing	---	---		〇	---	---	---	Y
